epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,738.641,0.36136,0.46624,0.80402,0.929,0.8024,0.9026,0.86826,0.34881,0.79646,0.81659,0.000236745,0.000236745,0.000236745
60,750.634,0.36479,0.48166,0.80517,0.92786,0.81524,0.89867,0.87863,0.33093,0.80489,0.81413,0.00023124,0.00023124,0.00023124
61,762.475,0.37127,0.46974,0.80864,0.96067,0.8147,0.9041,0.87739,0.33813,0.75656,0.81403,0.000225736,0.000225736,0.000225736
62,774.442,0.35799,0.46253,0.80296,0.94145,0.81878,0.89699,0.85999,0.34384,0.7852,0.8127,0.000220232,0.000220232,0.000220232
63,786.304,0.35256,0.45561,0.80654,0.92451,0.82379,0.90111,0.86296,0.32983,0.74888,0.81667,0.000214727,0.000214727,0.000214727
64,798.438,0.35491,0.45973,0.80134,0.92307,0.82448,0.90134,0.86932,0.33989,0.76591,0.81806,0.000209223,0.000209223,0.000209223
65,811.484,0.36351,0.45798,0.8042,0.9615,0.82212,0.91317,0.89879,0.3169,0.71969,0.81853,0.000203718,0.000203718,0.000203718
66,824.477,0.36321,0.44883,0.8102,0.93046,0.82996,0.9026,0.8699,0.32261,0.78741,0.81254,0.000198214,0.000198214,0.000198214
67,836.266,0.35175,0.44598,0.79942,0.96102,0.82201,0.89839,0.88176,0.32206,0.80489,0.81796,0.00019271,0.00019271,0.00019271
68,849.924,0.35907,0.45609,0.80181,0.94742,0.82324,0.8945,0.85971,0.32481,0.80697,0.82241,0.000187205,0.000187205,0.000187205
69,863.419,0.34784,0.4395,0.80205,0.93447,0.81501,0.90036,0.87048,0.31738,0.7739,0.81984,0.000181701,0.000181701,0.000181701
70,876.151,0.35341,0.43883,0.79889,0.92375,0.82041,0.86826,0.83896,0.32961,0.84497,0.8239,0.000176196,0.000176196,0.000176196
71,887.549,0.3522,0.42468,0.79699,0.90531,0.8278,0.86783,0.83705,0.32972,0.87982,0.82407,0.000170692,0.000170692,0.000170692
